_id,media_id,sec_media_id,uri,_data,share_count,isUsedAsWallpaper,_size,format,date_added,date_modified,mime_type,title,description,_display_name,orientation,latitude,longitude,datetaken,mini_thumb_magic,bucket_id,bucket_display_name,isprivate,media_type,storage_id,is_drm,width,height,is_favorite,spherical_mosaic,addr,sef_file_type,device_id,duplicate_id,image_clusterid,image_quality,image_screener,storage_type,deleted,resolution,tags,category,language,resumePos,isPlayed,is_360_video,duration,bookmark,artist,album,recordingtype,recording_mode,serviceflag,reusable,face_count,scan_pri,group_id,just_shot,best_image,group_index,is_duplicate,video_codec_info,audio_codec_info,picasa_id,type3dvideo,video_view_mode,smartcrop_rect,smartcrop_rect_ratio,sef_file_sub_type,sef_file_types,image_url,vendor,cloud_id,is_cloud,cloud_thumb_path,cloud_server_id,cloud_revision,file_status,cloud_server_path,cloud_cached_path,cloudCachePath,original_size,original_filepath,original_fileid,article_id,item_owner_name,item_owner_number,item_public_url,is_hdr10_video,is_hide,face_retry_count,ip_retry_count,cloud_original_size,gis_rect,is_mount,burst_group_id,timestamp,group_type,color_detected,action_detected,revital_image_tag,dynamic_view_info,video_service_flag,cmh_timestamp,revitalized_type,revitalized_time,revitalized_path
12,36,2147483660,content://secmedia/media/2147483660,/storage/emulated/0/DCIM/Camera/20210411_235603.jpg,0,0,1095777,14336,1618199766,1618199766,image/jpeg,20210411_235603,,20210411_235603.jpg,90.0,37.235496520996094,-80.43693542480469,1618199764000,,-1739773001,Camera,,1,65537,0,2944,2208,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Claytor Square|null|null|812 Claytor Square, Blacksburg, VA 24060, USA",2320.0,1,,10.0,1.0,"blur=0.167232,brightnessMean=0.631922,contrast=0.863281,featureNumber=0.549991,featurePointDistribution=0.998707,motionBlur=0.263319,outFocusBackground=0.935921,overExposure=0.194871,skylineIncline=0.000000,underExposure=0.005663,totalQuality=1.000000",,,2944×2208,,,,,,,,,,,,,16574819090,,1,1,2147483660,0,,,0,,,,,,"860,312,2940,2208,104,0,2312,2208,0,0,2944,2208,1288,0,2944,2208,0,476,2944,2132,840,0,2084,2208","0.29211956,0.14130434,0.9986413,1.0,0.035326086,0.0,0.78532606,1.0,0.0,0.0,1.0,1.0,0.4375,0.0,1.0,1.0,0.0,0.2155797,1.0,0.9655797,0.2853261,0.0,0.70788044,1.0",,",2320,2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138451,,black,,0,,0,,,,
13,39,2147483661,content://secmedia/media/2147483661,/storage/emulated/0/DCIM/Camera/20210415_062737.jpg,0,0,4008883,14336,1618482459,1618482459,image/jpeg,20210415_062737,,20210415_062737.jpg,0.0,38.70802307128906,-81.96715545654297,1618482457000,,-1739773001,Camera,,1,65537,0,4032,3024,0,,"United States|West Virginia|Mason County|Southside|null|null|Kanawha Valley Road|null|null|27878 Kanawha Valley Rd, Southside, WV 25187, USA",,1,,12.0,1.0,"blur=0.560944,brightnessMean=0.495617,contrast=0.816406,featureNumber=0.388796,featurePointDistribution=0.999289,motionBlur=0.707264,outFocusBackground=0.822289,overExposure=0.006297,skylineIncline=0.100704,underExposure=0.011065,totalQuality=0.999869",,,4032×3024,,,,,,,,,,,,,1518537490,,0,1,2147483661,0,,,0,,,,,,"1008,864,3168,2160,498,0,3522,3024,900,0,3168,3024,0,0,4032,3024,1152,0,2856,3024,0,300,4032,2568","0.25,0.2857143,0.78571427,0.71428573,0.1235119,0.0,0.8735119,1.0,0.22321428,0.0,0.78571427,1.0,0.0,0.0,1.0,1.0,0.2857143,0.0,0.7083333,1.0,0.0,0.09920635,1.0,0.8492063",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138437,,sky_blue,,0,,0,,,,
14,40,2147483662,content://secmedia/media/2147483662,/storage/emulated/0/DCIM/Camera/20210415_062752.jpg,0,0,2784533,14336,1618482474,1618482474,image/jpeg,20210415_062752,,20210415_062752.jpg,0.0,38.71188735961914,-81.96760559082031,1618482472000,,-1739773001,Camera,,1,65537,0,4032,3024,0,,"United States|West Virginia|Mason County|Southside|null|null|Kanawha Valley Road|null|null|27348 Kanawha Valley Rd, Southside, WV 25187, USA",,1,,11.0,1.0,"blur=0.814474,brightnessMean=0.527060,contrast=0.855469,featureNumber=0.326399,featurePointDistribution=0.992903,motionBlur=0.641931,outFocusBackground=0.719742,overExposure=0.006164,skylineIncline=0.066845,underExposure=0.004434,totalQuality=0.999192",,,4032×3024,,,,,,,,,,,,,1518537490,,0,1,2147483662,0,,,0,,,,,,"1296,432,2304,1836,432,0,3456,3024,756,0,3024,3024,0,0,4032,3024,996,0,2700,3024,0,0,4032,2268","0.32142857,0.14285715,0.5714286,0.60714287,0.10714286,0.0,0.85714287,1.0,0.1875,0.0,0.75,1.0,0.0,0.0,1.0,1.0,0.2470238,0.0,0.66964287,1.0,0.0,0.0,1.0,0.75",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138421,,,,0,,0,,,,
15,42,2147483663,content://secmedia/media/2147483663,/storage/emulated/0/DCIM/Camera/20210515_200351.jpg,0,0,2570999,14336,1621123432,1621123432,image/jpeg,20210515_200351,,20210515_200351.jpg,0.0,37.34928512573242,-80.53860473632812,1621123431000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA",,1,,14.0,1.0,"blur=0.034351,brightnessMean=0.612173,contrast=0.777344,featureNumber=0.686456,featurePointDistribution=0.590245,motionBlur=0.035515,outFocusBackground=0.958990,overExposure=0.114678,skylineIncline=0.022282,underExposure=0.000047,totalQuality=0.000000",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483663,1,,,0,,,,,,"1435,745,2875,1290,1030,0,2935,1905,1260,0,2690,1905,720,0,3260,1905,1430,0,2500,1905,310,0,3695,1905","0.3560794,0.39107612,0.7133995,0.6771653,0.25558314,0.0,0.7282878,1.0,0.3126551,0.0,0.6674938,1.0,0.17866005,0.0,0.808933,1.0,0.3548387,0.0,0.6203474,1.0,0.07692308,0.0,0.91687346,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621124013498,,,,0,,0,,,,
16,43,2147483664,content://secmedia/media/2147483664,/storage/emulated/0/DCIM/Camera/20210515_200353.jpg,0,0,2471633,14336,1621123434,1621123434,image/jpeg,20210515_200353,,20210515_200353.jpg,0.0,37.349300384521484,-80.53861236572266,1621123433000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA",,1,,15.0,1.0,"blur=0.152428,brightnessMean=0.510351,contrast=0.703125,featureNumber=0.710895,featurePointDistribution=0.690401,motionBlur=0.055381,outFocusBackground=0.962541,overExposure=0.000067,skylineIncline=0.011577,underExposure=0.002424,totalQuality=0.994101",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483664,1,,,0,,,,,,"1870,625,3020,1005,1150,0,3055,1905,1780,0,3210,1905,805,0,3345,1905,1600,0,2670,1905,350,0,3735,1905","0.46401986,0.328084,0.74937963,0.52755904,0.2853598,0.0,0.7580645,1.0,0.44168735,0.0,0.7965261,1.0,0.19975185,0.0,0.83002484,1.0,0.39702234,0.0,0.662531,1.0,0.08684864,0.0,0.926799,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621124013512,,,,0,,0,,,,
17,44,2147483665,content://secmedia/media/2147483665,/storage/emulated/0/DCIM/Camera/20210515_200356.jpg,0,0,2285561,14336,1621123437,1621123437,image/jpeg,20210515_200356,,20210515_200356.jpg,0.0,37.349300384521484,-80.53861236572266,1621123436000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA",,1,,14.0,1.0,"blur=0.316163,brightnessMean=0.527718,contrast=0.699219,featureNumber=0.595907,featurePointDistribution=0.407059,motionBlur=0.467320,outFocusBackground=0.910626,overExposure=0.004661,skylineIncline=0.022282,underExposure=0.000187,totalQuality=0.000000",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483665,1,,,0,,,,,,"430,880,2300,1835,395,0,2300,1905,1070,0,2500,1905,380,0,2920,1905,1430,0,2500,1905,380,0,3765,1905","0.10669975,0.46194226,0.5707196,0.9632546,0.09801489,0.0,0.5707196,1.0,0.26550868,0.0,0.6203474,1.0,0.094292805,0.0,0.72456574,1.0,0.3548387,0.0,0.6203474,1.0,0.094292805,0.0,0.9342432,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621124013512,,,,0,,0,,,,
18,45,2147483666,content://secmedia/media/2147483666,/storage/emulated/0/DCIM/Camera/20210515_200400.jpg,0,0,2744945,14336,1621123442,1621123442,image/jpeg,20210515_200400,,20210515_200400.jpg,0.0,37.34929656982422,-80.53861999511719,1621123440000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA",,1,,13.0,1.0,"blur=0.283299,brightnessMean=0.537044,contrast=0.687500,featureNumber=0.736511,featurePointDistribution=0.664892,motionBlur=0.137920,outFocusBackground=0.966256,overExposure=0.000501,skylineIncline=0.111408,underExposure=0.000681,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483666,1,,,0,,,,,,"1435,815,2875,1290,1040,0,2945,1905,1270,0,2700,1905,730,0,3270,1905,1445,0,2515,1905,315,0,3700,1905","0.3560794,0.42782152,0.7133995,0.6771653,0.2580645,0.0,0.7307692,1.0,0.31513646,0.0,0.66997516,1.0,0.18114144,0.0,0.8114144,1.0,0.3585608,0.0,0.62406945,1.0,0.07816377,0.0,0.9181141,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621124013515,,sky_blueviolet,,0,,0,,,,
19,46,2147483667,content://secmedia/media/2147483667,/storage/emulated/0/DCIM/Camera/20210515_201332.jpg,0,0,2094060,14336,1621124013,1621124013,image/jpeg,20210515_201332,,20210515_201332.jpg,0.0,37.34929656982422,-80.53861999511719,1621124012000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Giles County|Newport|null|null|Bald Knob Tower Road|null|null|200 Bald Knob Tower Rd, Newport, VA 24128, USA",,1,,16.0,1.0,"blur=0.439857,brightnessMean=0.563277,contrast=0.757813,featureNumber=0.655211,featurePointDistribution=0.607663,motionBlur=0.443545,outFocusBackground=0.947158,overExposure=0.012687,skylineIncline=0.066845,underExposure=0.000341,totalQuality=0.182745",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483667,1,,,0,,,,,,"1435,610,3020,1020,1115,0,3020,1905,1330,0,2760,1905,760,0,3300,1905,1515,0,2585,1905,330,0,3715,1905","0.3560794,0.32020998,0.74937963,0.53543305,0.27667493,0.0,0.74937963,1.0,0.3300248,0.0,0.6848635,1.0,0.18858561,0.0,0.81885856,1.0,0.37593052,0.0,0.6414392,1.0,0.08188586,0.0,0.92183626,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621124036428,,violet,,0,,0,,,,
20,47,2147483668,content://secmedia/media/2147483668,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210515-234501_Instagram.jpg,0,0,713512,14336,1621136701,1621136701,image/jpeg,Screenshot_20210515-234501_Instagram,,Screenshot_20210515-234501_Instagram.jpg,,,,1621136701436,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,17.0,1.0,"blur=0.250524,brightnessMean=0.827610,contrast=0.843750,featureNumber=0.578695,featurePointDistribution=0.872088,motionBlur=0.103271,outFocusBackground=0.935388,overExposure=0.434197,skylineIncline=0.011577,underExposure=0.000896,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535442,,0,1,2147483668,1,,,0,,,,,,"270,894,1077,1953,0,873,1080,1953,0,567,1080,2007,0,975,1080,1785,0,357,1080,2277,0,975,1080,1584","0.25,0.39210525,0.99722224,0.85657895,0.0,0.38289472,1.0,0.85657895,0.0,0.24868421,1.0,0.88026315,0.0,0.4276316,1.0,0.78289473,0.0,0.15657894,1.0,0.9986842,0.0,0.4276316,1.0,0.69473684",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621136718355,,whitecyancyan,,0,,0,,,,
21,48,2147483669,content://secmedia/media/2147483669,/storage/emulated/0/DCIM/Camera/20210519_205204.jpg,0,0,3536927,14336,1621471927,1621471927,image/jpeg,20210519_205204,,20210519_205204.jpg,90.0,37.22383117675781,-80.41773223876953,1621471925000,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,24.0,1.0,"blur=0.014264,brightnessMean=0.548876,contrast=0.820313,featureNumber=0.765926,featurePointDistribution=0.664433,motionBlur=0.167277,outFocusBackground=0.959145,overExposure=0.003773,skylineIncline=0.061493,underExposure=0.000220,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483669,1,,,0,,,,,,"0,955,2590,1705,0,0,1905,1905,0,0,2540,1905,0,0,1430,1905,0,0,3385,1905,35,0,1105,1905","0.0,0.5013123,0.6426799,0.8950131,0.0,0.0,0.4727047,1.0,0.0,0.0,0.6302729,1.0,0.0,0.0,0.3548387,1.0,0.0,0.0,0.8399504,1.0,0.008684863,0.0,0.27419356,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473179489,,forest_green,,0,,0,,,,
22,49,2147483670,content://secmedia/media/2147483670,/storage/emulated/0/DCIM/Camera/20210519_205210.jpg,0,0,6046089,14336,1621471930,1621471930,image/jpeg,20210519_205210,,20210519_205210.jpg,90.0,37.22382736206055,-80.41773223876953,1621471930225,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,23.0,1.0,"blur=0.086636,brightnessMean=0.550894,contrast=0.839844,featureNumber=0.730172,featurePointDistribution=0.518729,motionBlur=0.352479,outFocusBackground=0.941176,overExposure=0.002891,skylineIncline=0.022282,underExposure=0.002517,totalQuality=1.000000",,,4032×1908,,,,,,,,,,,,,1522729730,,0,1,2147483670,1,,,0,,,,,,"1005,70,3310,1025,1005,0,2910,1905,770,0,3310,1905,1005,0,2435,1905,285,0,3670,1905,1030,0,2100,1905","0.24937965,0.036745407,0.82133996,0.53805774,0.24937965,0.0,0.72208434,1.0,0.191067,0.0,0.82133996,1.0,0.24937965,0.0,0.60421836,1.0,0.0707196,0.0,0.91067,1.0,0.25558314,0.0,0.5210918,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473179478,,,,0,,0,,,,
23,50,2147483671,content://secmedia/media/2147483671,/storage/emulated/0/DCIM/Camera/20210519_205213.jpg,0,0,5535443,14336,1621471933,1621471933,image/jpeg,20210519_205213,,20210519_205213.jpg,90.0,37.22382736206055,-80.41773223876953,1621471933351,,-1739773001,Camera,,1,65537,0,4032,1908,0,,"United States|Virginia|Montgomery County|Blacksburg|null|null|Washington Street Southwest|null|null|435-443 Washington St SW, Blacksburg, VA 24060, USA",,1,,22.0,1.0,"blur=0.161844,brightnessMean=0.562498,contrast=0.707031,featureNumber=0.607441,featurePointDistribution=0.824085,motionBlur=0.844715,outFocusBackground=0.962759,overExposure=0.007472,skylineIncline=0.635465,underExposure=0.000007,totalQuality=0.000000",,,4032×1908,,,,,,,,,,,,,1522729746,,0,1,2147483671,1,,,0,,,,,,"1005,480,2015,1635,965,0,2870,1905,950,0,3490,1905,965,0,2395,1905,570,0,3955,1905,945,0,2015,1905","0.24937965,0.2519685,0.5,0.8582677,0.23945409,0.0,0.7121588,1.0,0.235732,0.0,0.86600494,1.0,0.23945409,0.0,0.5942928,1.0,0.1414392,0.0,0.9813896,1.0,0.23449132,0.0,0.5,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621473179462,,,,0,,0,,,,
